"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","N-ALPHA-ACETYLORNITHINE + WATER = L-ORNITHINE + ACET","abcdefg + X = bcdfg + ae","","F","",""
"R2","CPD-469 + GLT = N-ALPHA-ACETYLORNITHINE + 2-KETOGLUTARATE","abcdefg + hijkl = abcdefg + hijkl","","F","",""
"R3","PROTON + N-ACETYL-GLUTAMYL-P + NADPH = CPD-469 + NADP + Pi","X + abcdefg + X = acbfdeg + X + X","","FR","",""
"R4","ACETYL-GLU + ATP = N-ACETYL-GLUTAMYL-P + ADP","abcdefg + X = abcdefg + X","","F","",""
"R5","GLT + ACETYL-COA = PROTON + ACETYL-GLU + CO-A","abcde + fg = X + fabgcde + X","","FR","",""
"R6","L-ORNITHINE + CARBAMOYL-P = PROTON + L-CITRULLINE + Pi","abcde + f = X + abcdef + X","","FR","",""
"R7","L-ARGININO-SUCCINATE = ARG + FUM","abcdefghij = abcehj + fdig","","FR","",""
"R8","L-ASPARTATE + L-CITRULLINE + ATP = PROTON + L-ARGININO-SUCCINATE + PPI + AMP","abcd + efghij + X = X + efgahbcidj + X + X","","F","",""
"R9","PROTON + LYS = CARBON-DIOXIDE + CADAVERINE","X + abcdef = f + abcde","","F","",""
"R10","CADAVERINE + S-ADENOSYLMETHIONINAMINE = PROTON + CPD0-1065 + 5-METHYLTHIOADENOSINE","abcde + fghijklmnopqrs = X + acbgehdi + fjklmnopqrs","","F","",""
"R11","CADAVERINE + S-ADENOSYLMETHIONINAMINE = PROTON + CPD0-1065 + 5-METHYLTHIOADENOSINE","abcde + fghijklmnopqrs = X + abcgdhei + fjklmnopqrs","","F","",""
"R12","PROTON + S-ADENOSYLMETHIONINE = CARBON-DIOXIDE + S-ADENOSYLMETHIONINAMINE","X + abcdefghijklmno = o + abgcdefhijklmn","","F","",""
"R13","PUTRESCINE + S-ADENOSYLMETHIONINAMINE = PROTON + SPERMIDINE + 5-METHYLTHIOADENOSINE","abcd + efghijklmnopqr = X + bafdgch + eijklmnopqr","","F","",""
"R14","PUTRESCINE + S-ADENOSYLMETHIONINAMINE = PROTON + SPERMIDINE + 5-METHYLTHIOADENOSINE","abcd + efghijklmnopqr = X + abfcgdh + eijklmnopqr","","F","",""
"R15","PROTON + L-ORNITHINE = CARBON-DIOXIDE + PUTRESCINE","X + abcde = e + badc","","F","",""
"R16","WATER + AGMATHINE = UREA + PUTRESCINE","X + abcde = e + badc","","F","",""
"R17","PROTON + ARG = CARBON-DIOXIDE + AGMATHINE","X + abcdef = e + badcf","","F","",""
