"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","PUTRESCINE + 2-KETOGLUTARATE = 4-AMINO-BUTYRALDEHYDE + GLT","abcd + efghi = abcd + efghi","","F","",""
"R2","PUTRESCINE + 2-KETOGLUTARATE = 4-AMINO-BUTYRALDEHYDE + GLT","abcd + efghi = badc + efghi","","F","",""
"R3","4-AMINO-BUTYRALDEHYDE + NAD + WATER = 4-AMINO-BUTYRATE + NADH + PROTON + PROTON","abcd + X + X = abcd + X + X + X","","F","",""
"R4","SUCC-S-ALD + NADP + WATER = SUC + NADPH + PROTON + PROTON","abcd + X + X = badc + X + X + X","","F","",""
"R5","2-KETOGLUTARATE + 4-AMINO-BUTYRATE = GLT + SUCC-S-ALD","abcde + fghi = abcde + fghi","","FR","",""
"R6","WATER + NAD + SUCC-S-ALD = PROTON + PROTON + NADH + SUC","X + X + abcd = X + X + X + badc","","F","",""
"R7","2-KETOGLUTARATE + 4-AMINO-BUTYRATE = GLT + SUCC-S-ALD","abcde + fghi = abcde + fghi","","FR","",""
"R8","WATER + AGMATHINE = UREA + PUTRESCINE","X + abcde = e + badc","","F","",""
"R9","PROTON + ARG = CARBON-DIOXIDE + AGMATHINE","X + abcdef = e + badcf","","F","",""
"R10","PUTRESCINE + GLT + ATP = PROTON + GAMMA-GLUTAMYL-PUTRESCINE + ADP + Pi","abcd + efghi + X = X + baefdcghi + X + X","","F","",""
"R11","PUTRESCINE + GLT + ATP = PROTON + GAMMA-GLUTAMYL-PUTRESCINE + ADP + Pi","abcd + efghi + X = X + abefcdghi + X + X","","F","",""
"R12","CPD-9000 + WATER = 4-AMINO-BUTYRATE + GLT","abcdefghi + X = abeh + cdfgi","","F","",""
