"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","CPD-15056 = CPD-16013","abcd = abcd","","F","",""
"R2","PROTON + CPD-16013 + WATER = 2-OXOBUTANOATE + AMMONIUM","X + abcd + X = abcd + X","","F","",""
"R3","THR = CPD-15056 + WATER + PROTON","abcd = abcd + X + X","","F","",""
"R4","PROTON + PYRUVATE + 2-OXOBUTANOATE = 2-ACETO-2-HYDROXY-BUTYRATE + CARBON-DIOXIDE","X + abc + defg = daebgf + c","","F","",""
"R5","PROTON + 2-ACETO-2-HYDROXY-BUTYRATE + NADPH = 1-KETO-2-METHYLVALERATE + NADP","X + abcdef + X = abcfed + X","","F","",""
"R6","2-KETO-3-METHYL-VALERATE + GLT = ILE + 2-KETOGLUTARATE","abcdef + ghijk = abcdef + ghijk","","FR","",""
"R7","1-KETO-2-METHYLVALERATE = 2-KETO-3-METHYL-VALERATE + WATER","abcdef = abcfde + X","","F","",""
"R8","PROTON + PYRUVATE + PYRUVATE = 2-ACETO-LACTATE + CARBON-DIOXIDE","X + abc + def = daecb + f","","FR","",""
"R9","PROTON + PYRUVATE + PYRUVATE = 2-ACETO-LACTATE + CARBON-DIOXIDE","X + abc + def = adbfe + c","","FR","",""
"R10","2-ACETO-LACTATE + NADPH + PROTON = CPD-13357 + NADP","abcde + X + X = baedc + X","","FR","",""
"R11","2-KETO-ISOVALERATE + GLT = VAL + 2-KETOGLUTARATE","abcde + fghij = bacde + fghij","","FR","",""
"R12","CPD-13357 = 2-KETO-ISOVALERATE + WATER","abcde = baecd + X","","F","",""
"R13","CPD-9451 + WATER = 2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE","abcdefg + X = abdecgf","","F","",""
"R14","PROTON + CPD-7100 = 2K-4CH3-PENTANOATE + CARBON-DIOXIDE","X + abcdefg = abdceg + f","","F","",""
"R15","2-KETO-ISOVALERATE + ACETYL-COA + WATER = PROTON + 3-CARBOXY-3-HYDROXY-ISOCAPROATE + CO-A","abcde + fg + X = X + abfcged + X","","F","",""
"R16","3-CARBOXY-3-HYDROXY-ISOCAPROATE = CPD-9451 + WATER","abcdefg = abcdgef + X","","FR","",""
"R17","2K-4CH3-PENTANOATE + GLT = LEU + 2-KETOGLUTARATE","abcdef + ghijk = abcdef + ghijk","","FR","",""
"R18","2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE + NAD = CPD-7100 + NADH + PROTON","abcdefg + X = abcdefg + X + X","","FR","",""
