"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","CPD-12575 + WATER + NAD + NAD = PROTON + PROTON + PROTON + NADH + NADH + UDP-GLUCURONATE","abcdefghijklmno + X + X + X = X + X + X + X + X + abdfgijhklemcno","","F","",""
"R2","CPD-12575 = CPD-14553","abcdefghijklmno = abcdefghijklmno","","FR","",""
"R3","ALPHA-GLC-6-P = GLC-1-P","abcdef = abcdef","","FR","",""
"R4","GLC-6-P = ALPHA-GLC-6-P","abcdef = abcdef","","FR","",""
"R5","PROTON + GLC-1-P + UTP = CPD-12575 + PPI","X + abcdef + ghijklmno = ghaibjkcldmenfo + X","","F","",""
"R6","PROTON + MANNOSE-1P + GTP = GDP-MANNOSE + PPI","X + abcdef + ghijklmnop = aghbijckdlemnofp + X","","F","",""
"R7","GLC-6-P = FRUCTOSE-6P","abcdef = afbcde","","FR","",""
"R8","PROTON + NADPH + GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE = CPD-13118 + NADP","X + X + abcdefghijklmnop = abcdefghijklmnop + X","","F","",""
"R9","GDP-MANNOSE = WATER + GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE","abcdefghijklmnop = X + abcdefghijklmnop","","F","",""
"R10","CPD-12575 = CPD-14553","abcdefghijklmno = abcdefghijklmno","","FR","",""
