"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","CHORISMATE = PREPHENATE","abcdefghij = hcdbageijf","","F","",""
"R2","PREPHENATE + NAD = P-HYDROXY-PHENYLPYRUVATE + CARBON-DIOXIDE + NADH","abcdefghij + X = dcbaejfgh + i + X","","F","",""
"R3","P-HYDROXY-PHENYLPYRUVATE + GLT = TYR + 2-KETOGLUTARATE","abcdefghi + jklmn = abcdefghi + jklmn","","FR","",""
"R4","CHORISMATE = PREPHENATE","abcdefghij = hcdbageijf","","F","",""
"R5","PROTON + PREPHENATE = PHENYL-PYRUVATE + WATER + CARBON-DIOXIDE","X + abcdefghij = fabcdejgh + X + i","","F","",""
"R6","PHENYL-PYRUVATE + GLT = PHE + 2-KETOGLUTARATE","abcdefghi + jklmn = abcdefghi + jklmn","","FR","",""
"R7","INDOLE + SER = TRP + WATER","abcdefgh + ijk = abcdifegjhk + X","","F","",""
"R8","INDOLE-3-GLYCEROL-P = INDOLE + GAP","abcdefghijk = abcdhegi + kfj","","FR","",""
"R9","CHORISMATE + GLN = PROTON + ANTHRANILATE + PYRUVATE + GLT","abcdefghij + klmno = X + hgdcfbj + aei + klmno","","F","",""
"R10","ANTHRANILATE + PRPP = N-5-PHOSPHORIBOSYL-ANTHRANILATE + PPI","abcdefg + hijkl = abcdhefijklg + X","","F","",""
"R11","ANTHRANILATE + PRPP = N-5-PHOSPHORIBOSYL-ANTHRANILATE + PPI","abcdefg + hijkl = abcdhefijklg + X","","F","",""
"R12","N-5-PHOSPHORIBOSYL-ANTHRANILATE = CARBOXYPHENYLAMINO-DEOXYRIBULOSE-P","abcdefghijkl = abcdkefgjhil","","F","",""
"R13","PROTON + CARBOXYPHENYLAMINO-DEOXYRIBULOSE-P = INDOLE-3-GLYCEROL-P + CARBON-DIOXIDE + WATER","X + abcdefghijkl = abcdefgihjk + l + X","","F","",""
"R14","NADH-P-OR-NOP + 3-DEHYDRO-SHIKIMATE + PROTON = NAD-P-OR-NOP + SHIKIMATE","abcdefghijklmnopqrstu + vwyzABC + X = abcdefghijklmnopqrstu + vwyzABC","","F","",""
"R15","DEHYDROQUINATE = WATER + 3-DEHYDRO-SHIKIMATE","abcdefg = X + bagdcef","","FR","",""
"R16","PROTON + NADPH + 3-DEHYDRO-SHIKIMATE = NADP + SHIKIMATE","X + X + abcdefg = X + abcdefg","","FR","",""
"R17","SHIKIMATE + ATP = PROTON + SHIKIMATE-5P + ADP","abcdefg + X = X + bacedfg + X","","F","",""
"R18","SHIKIMATE-5P + PHOSPHO-ENOL-PYRUVATE = 3-ENOLPYRUVYL-SHIKIMATE-5P + Pi","abcdefg + hij = habicdefjg + X","","FR","",""
"R19","3-ENOLPYRUVYL-SHIKIMATE-5P = Pi + CHORISMATE","abcdefghij = X + acgbdehfij","","F","",""
"R20","PHOSPHO-ENOL-PYRUVATE + ERYTHROSE-4P + WATER = 3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P + Pi","abc + defg + X = aedbgfc + X","","F","",""
"R21","3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P = Pi + DEHYDROQUINATE","abcdefg = X + abcefgd","","F","",""
