"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","ATP + Reduced-flavodoxins = DATP + Oxidized-flavodoxins + WATER","","","F","",""
"R2","DADP + ATP = DATP + ADP","abcdefghij + X = abcdefghij + X","","F","",""
"R3","ADP + Red-Thioredoxin = DADP + Ox-Thioredoxin + WATER","","","FR","",""
"R4","PROTON + PROTON + PROTON + PROTON + Pi + ADP = PROTON + PROTON + PROTON + WATER + ATP","","","FR","",""
"R5","AMP + ATP = ADP + ADP","","","F","",""
"R6","ADENYLOSUCC = FUM + AMP","abcd = badc + X","","F","",""
"R7","L-ASPARTATE + IMP + GTP = PROTON + PROTON + ADENYLOSUCC + Pi + GDP","abcd + efghijklmn + opqrstuvwy = X + X + aefgbhcijkmlnd + X + opqrstuvwy","","F","",""
"R8","DGDP + ATP = DGTP + ADP","abcdefghij + X = abcdefghij + X","","F","",""
"R9","GTP + Reduced-flavodoxins = DGTP + Oxidized-flavodoxins + WATER","abcdefghij + X = fabecidghj + X + X","","F","",""
"R10","GDP + Red-Thioredoxin = DGDP + Ox-Thioredoxin + WATER","abcdefghij + X = fabecidghj + X + X","","F","",""
"R11","GDP + ATP = GTP + ADP","abcdefghij + X = abcdefghij + X","","F","",""
"R12","GMP + ATP = GDP + ADP","abcdefghij + X = abcdefghij + X","","F","",""
"R13","WATER + GLN + XANTHOSINE-5-PHOSPHATE + ATP = PROTON + PROTON + GLT + GMP + PPI + AMP","X + abcde + fghijklmno + X = X + X + abcde + fghijklmno + X + X","","F","",""
"R14","WATER + GLN + XANTHOSINE-5-PHOSPHATE + ATP = PROTON + PROTON + GLT + GMP + PPI + AMP","X + abcde + fghijklmno + X = X + X + abcde + fghijklmno + X + X","","F","",""
"R15","WATER + NAD + IMP = PROTON + NADH + XANTHOSINE-5-PHOSPHATE","X + X + abcdefghij = X + X + acdefghijb","","F","",""
"R16","5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE + ATP + HCO3 = PROTON + PROTON + CPD0-181 + ADP + Pi","abcdefgh + X + i = X + X + abcdefghi + X + X","","F","",""
"R17","CPD0-181 = PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE","abcdefghi = bcdafgehi","","F","",""
"R18","PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE = IMP + WATER","abcdefghij = acbdefgihj + X","","FR","",""
"R19","FORMYL-THF-GLU-N + AICAR = THF-GLU-N + PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE","abcdefghijklmnopqrst + uvwyzABCD = abcdefgihkmlnopqrst + uvjwyzACBD","","FR","",""
"R20","P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE = FUM + AICAR","abcdefghijklm = damf + bceghijkl","","F","",""
"R21","5-PHOSPHO-RIBOSYL-GLYCINEAMIDE + FORMATE + ATP = PROTON + Pi + 5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE + ADP","abcdefg + h + X = X + X + abhcdefg + X","","F","",""
"R22","ATP + 5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE = PROTON + ADP + Pi + 5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE","X + abcdefgh = X + X + X + abcdefgh","","F","",""
"R23","ATP + 5-P-BETA-D-RIBOSYL-AMINE + GLY = PROTON + ADP + Pi + 5-PHOSPHO-RIBOSYL-GLYCINEAMIDE","X + abcde + fg = X + X + X + fabgcde","","F","",""
"R24","PRPP + GLN + WATER = 5-P-BETA-D-RIBOSYL-AMINE + PPI + GLT","abcde + fghij + X = abcde + X + fghij","","F","",""
"R25","PRPP + GLN + WATER = 5-P-BETA-D-RIBOSYL-AMINE + PPI + GLT","abcde + fghij + X = abcde + X + fghij","","F","",""
