"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","THREO-DS-ISO-CITRATE + NADP = NADPH + 2-KETOGLUTARATE + CARBON-DIOXIDE","abcdef + X = X + badcf + e","","F","",""
"R2","CIS-ACONITATE + WATER = THREO-DS-ISO-CITRATE","abcdef + X = bceafd","","FR","",""
"R3","CIT = CIS-ACONITATE + WATER","abcdef = bafdce + X","","FR","",""
"R4","OXALACETIC_ACID + ACETYL-COA + WATER = PROTON + CIT + CO-A","abcd + ef + X = X + aecfdb + X","","F","",""
"R5","Menaquinols + FUM = Menaquinones + SUC","abcdefghijklmnop + qrst = abcdefghijklmnop + qrst","","FR","",""
"R6","PROTON + FORMATE = CARBON-DIOXIDE + HYDROGEN-MOLECULE","X + a = a + X","","F","",""
"R7","PHOSPHO-ENOL-PYRUVATE + HCO3 = Pi + OXALACETIC_ACID","abc + d = X + abdc","","FR","",""
"R8","PROTON + OXALACETIC_ACID + NADH = MAL + NAD","X + abcd + X = abcd + X","","FR","",""
"R9","MAL = FUM + WATER","abcd = badc + X","","FR","",""
"R10","PROTON + NADH + PYRUVATE = NAD + D-LACTATE","X + X + abc = X + abc","","F","",""
"R11","PROTON + ADP + PHOSPHO-ENOL-PYRUVATE = PYRUVATE + ATP","X + X + abc = abc + X","","F","",""
"R12","ACETALD + NADH + PROTON = ETOH + NAD","ab + X + X = ab + X","","FR","",""
"R13","PROTON + NADH + ACETYL-COA = NAD + CO-A + ACETALD","X + X + ab = X + X + ab","","FR","",""
"R14","PYRUVATE + CO-A = FORMATE + ACETYL-COA","abc + X = c + ab","","F","",""
"R15","ACETYL-P + ADP = ACET + ATP","ab + X = ab + X","","FR","",""
"R16","Pi + ACETYL-COA = ACETYL-P + CO-A","X + ab = ab + X","","FR","",""
