"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","LACTALD + NADH + PROTON = PROPANE-1-2-DIOL + NAD","abc + X + X = abc + X","","FR","",""
"R2","L-LACTATE + Acceptor = PYRUVATE + Donor-H2","abc + X = abc + X","","F","",""
"R3","WATER + NAD + LACTALD = PROTON + PROTON + NADH + L-LACTATE","X + X + abc = X + X + X + acb","","F","",""
"R4","RHAMNOSE = CPD0-1112","abcdef = abcdef","","F","",""
"R5","CPD-16566 = CPD-16567","abcdef = abcefd","","F","",""
"R6","CPD0-1112 = CPD-16566","abcdef = afbecd","","FR","",""
"R7","CPD-16567 + ATP = PROTON + RHAMNULOSE-1P + ADP","abcdef + X = X + abcfde + X","","F","",""
"R8","RHAMNULOSE-1P = LACTALD + DIHYDROXY-ACETONE-PHOSPHATE","abcdef = aec + fbd","","FR","",""
"R9","CPD0-1107 = CPD-10329","abcdef = abcdef","","FR","",""
"R10","CPD-10329 = L-FUCULOSE","abcdef = afbecd","","FR","",""
"R11","L-FUCULOSE + ATP = PROTON + FUCULOSE-1P + ADP","abcdef + X = X + abcdef + X","","F","",""
"R12","FUCULOSE-1P = LACTALD + DIHYDROXY-ACETONE-PHOSPHATE","abcdef = aec + fbd","","FR","",""
