"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","D-Glucopyranuronate = CPD-15530","abcdef = fcabde","","FR","",""
"R2","WATER + Beta-D-Glucuronides = D-Glucopyranuronate + Alcohols","X + abcdef = abcdef + X","","F","",""
"R3","CPD-15530 = FRUCTURONATE","abcdef = abcdef","","FR","",""
"R4","2-KETO-3-DEOXY-6-P-GLUCONATE = GAP + PYRUVATE","abcdef = cbe + adf","","F","",""
"R5","2-DEHYDRO-3-DEOXY-D-GLUCONATE + ATP = PROTON + 2-KETO-3-DEOXY-6-P-GLUCONATE + ADP","abcdef + X = X + abcdef + X","","F","",""
"R6","D-MANNONATE = WATER + 2-DEHYDRO-3-DEOXY-D-GLUCONATE","abcdef = X + dacebf","","F","",""
"R7","FRUCTURONATE + PROTON + NADH = NAD + D-MANNONATE","abcdef + X + X = X + abcdef","","FR","",""
"R8","2-KETO-3-DEOXY-6-P-GLUCONATE = GAP + PYRUVATE","abcdef = cbe + adf","","F","",""
"R9","CPD-15633 = D-TAGATURONATE","abcdef = abcdef","","FR","",""
"R10","PROTON + NADH + D-TAGATURONATE = NAD + D-ALTRONATE","X + X + abcdef = X + abcdef","","FR","",""
"R11","2-DEHYDRO-3-DEOXY-D-GLUCONATE + ATP = PROTON + 2-KETO-3-DEOXY-6-P-GLUCONATE + ADP","abcdef + X = X + abcdef + X","","F","",""
"R12","D-ALTRONATE = WATER + 2-DEHYDRO-3-DEOXY-D-GLUCONATE","abcdef = X + dacebf","","F","",""
