"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","DIHYDROXY-ACETONE-PHOSPHATE = GAP","abc = abc","","FR","",""
"R2","NADP + MAL = NADPH + CARBON-DIOXIDE + PYRUVATE","X + abcd = X + c + abd","","F","",""
"R3","NAD + MAL = NADH + CARBON-DIOXIDE + PYRUVATE","X + abcd = X + c + abd","","F","",""
"R4","WATER + PYRUVATE + ATP = PROTON + PROTON + Pi + PHOSPHO-ENOL-PYRUVATE + AMP","X + abc + X = X + X + X + abc + X","","F","",""
"R5","MAL + NAD = PROTON + OXALACETIC_ACID + NADH","abcd + X = X + abcd + X","","FR","",""
"R6","OXALACETIC_ACID + ATP = CARBON-DIOXIDE + PHOSPHO-ENOL-PYRUVATE + ADP","abcd + X = c + abd + X","","F","",""
"R7","PHOSPHO-ENOL-PYRUVATE + WATER = 2-PG","abc + X = abc","","FR","",""
"R8","2-PG = G3P","abc = abc","","FR","",""
"R9","G3P + ATP = DPG + ADP","abc + X = abc + X","","FR","",""
"R10","PROTON + DPG + NADH = GAP + Pi + NAD","X + abc + X = cab + X + X","","FR","",""
"R11","DIHYDROXY-ACETONE-PHOSPHATE + GAP = FRUCTOSE-16-DIPHOSPHATE","abc + def = ebfdac","","FR","",""
"R12","FRUCTOSE-16-DIPHOSPHATE + WATER = FRUCTOSE-6P + Pi","abcdef + X = abcdef + X","","F","",""
"R13","FRUCTOSE-6P = GLC-6-P","abcdef = acdefb","","FR","",""
