"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","D-6-P-GLUCONO-DELTA-LACTONE + WATER = PROTON + CPD-2961","abcdef + X = X + abcdef","","F","",""
"R2","GLC-6-P + NADP = D-6-P-GLUCONO-DELTA-LACTONE + NADPH + PROTON","abcdef + X = abcdef + X + X","","F","",""
"R3","G3P = 2-PG","abc = abc","","FR","",""
"R4","FRUCTOSE-16-DIPHOSPHATE + WATER = FRUCTOSE-6P + Pi","abcdef + X = abcdef + X","","F","",""
"R5","WATER + PYRUVATE + ATP = PROTON + PROTON + Pi + PHOSPHO-ENOL-PYRUVATE + AMP","X + abc + X = X + X + X + abc + X","","F","",""
"R6","GLC-6-P = FRUCTOSE-6P","abcdef = afbcde","","FR","",""
"R7","FRUCTOSE-6P + ATP = PROTON + ADP + FRUCTOSE-16-DIPHOSPHATE","abcdef + X = X + X + abcdef","","F","",""
"R8","FRUCTOSE-16-DIPHOSPHATE = DIHYDROXY-ACETONE-PHOSPHATE + GAP","abcdef = ebf + dac","","FR","",""
"R9","DIHYDROXY-ACETONE-PHOSPHATE = GAP","abc = abc","","FR","",""
"R10","GAP + Pi + NAD = PROTON + DPG + NADH","abc + X + X = X + bca + X","","FR","",""
"R11","DPG + ADP = G3P + ATP","abc + X = abc + X","","FR","",""
"R12","G3P = 2-PG","abc = abc","","FR","",""
"R13","2-PG = PHOSPHO-ENOL-PYRUVATE + WATER","abc = abc + X","","FR","",""
"R14","PROTON + ADP + PHOSPHO-ENOL-PYRUVATE = PYRUVATE + ATP","X + X + abc = abc + X","","F","",""
"R15","CPD-2961 = 2-KETO-3-DEOXY-6-P-GLUCONATE + WATER","abcdef = dacebf + X","","F","",""
"R16","2-KETO-3-DEOXY-6-P-GLUCONATE = GAP + PYRUVATE","abcdef = cbe + adf","","F","",""
