"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","PYRUVATE + CO-A + NAD = ACETYL-COA + CARBON-DIOXIDE + NADH","abc + X + X = ab + c + X","","F","",""
"R2","G3P = 2-PG","abc = abc","","FR","",""
"R3","FRUCTOSE-16-DIPHOSPHATE + WATER = FRUCTOSE-6P + Pi","abcdef + X = abcdef + X","","F","",""
"R4","WATER + PYRUVATE + ATP = PROTON + PROTON + Pi + PHOSPHO-ENOL-PYRUVATE + AMP","X + abc + X = X + X + X + abc + X","","F","",""
"R5","GLC-6-P = FRUCTOSE-6P","abcdef = afbcde","","FR","",""
"R6","FRUCTOSE-6P + ATP = PROTON + ADP + FRUCTOSE-16-DIPHOSPHATE","abcdef + X = X + X + abcdef","","F","",""
"R7","FRUCTOSE-16-DIPHOSPHATE = DIHYDROXY-ACETONE-PHOSPHATE + GAP","abcdef = ebf + dac","","FR","",""
"R8","DIHYDROXY-ACETONE-PHOSPHATE = GAP","abc = abc","","FR","",""
"R9","GAP + Pi + NAD = PROTON + DPG + NADH","abc + X + X = X + bca + X","","FR","",""
"R10","DPG + ADP = G3P + ATP","abc + X = abc + X","","FR","",""
"R11","G3P = 2-PG","abc = abc","","FR","",""
"R12","2-PG = PHOSPHO-ENOL-PYRUVATE + WATER","abc = abc + X","","FR","",""
"R13","PROTON + ADP + PHOSPHO-ENOL-PYRUVATE = PYRUVATE + ATP","X + X + abc = abc + X","","F","",""
"R14","Ubiquinones + SUC = Ubiquinols + FUM","abcdefghijklmn + opqr = abcdefghijklmn + opqr","","F","",""
"R15","CIT = CIS-ACONITATE + WATER","abcdef = bafdce + X","","FR","",""
"R16","OXALACETIC_ACID + ACETYL-COA + WATER = PROTON + CIT + CO-A","abcd + ef + X = X + aecfdb + X","","F","",""
"R17","CIS-ACONITATE + WATER = THREO-DS-ISO-CITRATE","abcdef + X = bceafd","","FR","",""
"R18","THREO-DS-ISO-CITRATE + NADP = NADPH + 2-KETOGLUTARATE + CARBON-DIOXIDE","abcdef + X = X + badcf + e","","F","",""
"R19","2-KETOGLUTARATE + CO-A + NAD = SUC-COA + CARBON-DIOXIDE + NADH","abcde + X + X = badc + e + X","","F","",""
"R20","SUC-COA + ADP + Pi = SUC + CO-A + ATP","abcd + X + X = abcd + X + X","","FR","",""
"R21","SUC-COA + ADP + Pi = SUC + CO-A + ATP","abcd + X + X = badc + X + X","","FR","",""
"R22","FUM + WATER = MAL","abcd + X = badc","","FR","",""
"R23","MAL + NAD = PROTON + OXALACETIC_ACID + NADH","abcd + X = X + abcd + X","","FR","",""
"R24","CIT = CIS-ACONITATE + WATER","abcdef = bafdce + X","","FR","",""
"R25","OXALACETIC_ACID + ACETYL-COA + WATER = PROTON + CIT + CO-A","abcd + ef + X = X + aecfdb + X","","F","",""
"R26","CIS-ACONITATE + WATER = THREO-DS-ISO-CITRATE","abcdef + X = bceafd","","FR","",""
"R27","THREO-DS-ISO-CITRATE = GLYOX + SUC","abcdef = df + abce","","FR","",""
"R28","ACETYL-COA + WATER + GLYOX = PROTON + MAL + CO-A","ab + X + cd = X + acbd + X","","F","",""
"R29","MAL + NAD = PROTON + OXALACETIC_ACID + NADH","abcd + X = X + abcd + X","","FR","",""
