"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","G3P = 2-PG","abc = abc","","FR","",""
"R2","FRUCTOSE-16-DIPHOSPHATE + WATER = FRUCTOSE-6P + Pi","abcdef + X = abcdef + X","","F","",""
"R3","WATER + PYRUVATE + ATP = PROTON + PROTON + Pi + PHOSPHO-ENOL-PYRUVATE + AMP","X + abc + X = X + X + X + abc + X","","F","",""
"R4","FRUCTOSE-6P + ATP = PROTON + ADP + FRUCTOSE-16-DIPHOSPHATE","abcdef + X = X + X + abcdef","","F","",""
"R5","FRUCTOSE-16-DIPHOSPHATE = DIHYDROXY-ACETONE-PHOSPHATE + GAP","abcdef = ebf + dac","","FR","",""
"R6","DIHYDROXY-ACETONE-PHOSPHATE = GAP","abc = abc","","FR","",""
"R7","GAP + Pi + NAD = PROTON + DPG + NADH","abc + X + X = X + bca + X","","FR","",""
"R8","DPG + ADP = G3P + ATP","abc + X = abc + X","","FR","",""
"R9","G3P = 2-PG","abc = abc","","FR","",""
"R10","2-PG = PHOSPHO-ENOL-PYRUVATE + WATER","abc = abc + X","","FR","",""
"R11","PROTON + ADP + PHOSPHO-ENOL-PYRUVATE = PYRUVATE + ATP","X + X + abc = abc + X","","F","",""
"R12","GALACTITOL-1-PHOSPHATE + NAD = PROTON + TAGATOSE-6-PHOSPHATE + NADH","abcdef + X = X + badfec + X","","FR","",""
"R13","TAGATOSE-1-6-DIPHOSPHATE = DIHYDROXY-ACETONE-PHOSPHATE + GAP","abcdef = ebf + dac","","FR","",""
"R14","TAGATOSE-6-PHOSPHATE + ATP = PROTON + TAGATOSE-1-6-DIPHOSPHATE + ADP","abcdef + X = X + abcdef + X","","F","",""
"R15","CPD-15709 = FRUCTOSE-6P","abcdef = badfec","","FR","",""
"R16","D-SORBITOL-6-P + NAD = CPD-15709 + NADH + PROTON","abcdef + X = abcdef + X + X","","FR","",""
"R17","MANNITOL-1P + NAD = PROTON + FRUCTOSE-6P + NADH","abcdef + X = X + badfec + X","","FR","",""
