"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","PROTON + ATP + PRPP = PHOSPHORIBOSYL-ATP + PPI","X + X + abcde = abcde + X","","FR","",""
"R2","PROTON + ATP + PRPP = PHOSPHORIBOSYL-ATP + PPI","X + X + abcde = abcde + X","","FR","",""
"R3","PHOSPHORIBOSYL-AMP + WATER = PHOSPHORIBOSYL-FORMIMINO-AICAR-P","abcdefghijklmno + X = abdcefghijklmno","","F","",""
"R4","PHOSPHORIBOSYL-ATP + WATER = PHOSPHORIBOSYL-AMP + PPI + PROTON + PROTON","abcdefghijklmno + X = abcdefghijklmno + X + X + X","","F","",""
"R5","PHOSPHORIBOSYL-ATP + WATER = PHOSPHORIBOSYL-AMP + PPI + PROTON + PROTON","abcdefghijklmno + X = abcdefghijklmno + X + X + X","","F","",""
"R6","PHOSPHORIBOSYL-FORMIMINO-AICAR-P = PHOSPHORIBULOSYL-FORMIMINO-AICAR-P","abcdefghijklmno = nabcdjefghiklmo","","F","",""
"R7","PHOSPHORIBULOSYL-FORMIMINO-AICAR-P + GLN = PROTON + GLT + D-ERYTHRO-IMIDAZOLE-GLYCEROL-P + AICAR","abcdefghijklmno + pqrst = X + pqrst + abdfgj + cehiklnmo","","F","",""
"R8","D-ERYTHRO-IMIDAZOLE-GLYCEROL-P = IMIDAZOLE-ACETOL-P + WATER","abcdef = fabcde + X","","F","",""
"R9","IMIDAZOLE-ACETOL-P + GLT = L-HISTIDINOL-P + 2-KETOGLUTARATE","abcdef + ghijk = abcdfe + ghijk","","F","",""
"R10","L-HISTIDINOL-P + WATER = HISTIDINOL + Pi","abcdef + X = abcdef + X","","F","",""
"R11","HISTIDINOL + NAD = PROTON + HISTIDINAL + NADH","abcdef + X = X + abcdef + X","","F","",""
"R12","HISTIDINAL + NAD + WATER = PROTON + PROTON + HIS + NADH","abcdef + X + X = X + X + abdfec + X","","F","",""
