"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","ATP + MET + WATER = Pi + PPI + S-ADENOSYLMETHIONINE","X + abcde + X = X + X + abcde","","F","",""
"R2","ATP + MET + WATER = Pi + PPI + S-ADENOSYLMETHIONINE","X + abcde + X = X + X + abcde","","F","",""
"R3","NADH-P-OR-NOP + L-ASPARTATE-SEMIALDEHYDE + PROTON = NAD-P-OR-NOP + HOMO-SER","abcdefghijklmnopqrstu + vwyz + X = abcdefghijklmnopqrstu + vwyz","","F","",""
"R4","PROTON + NADPH + L-BETA-ASPARTYL-P = NADP + Pi + L-ASPARTATE-SEMIALDEHYDE","X + X + abcd = X + X + acbd","","FR","",""
"R5","L-ASPARTATE + ATP = L-BETA-ASPARTYL-P + ADP","abcd + X = abcd + X","","F","",""
"R6","L-CYSTATHIONINE = PROTON + 2-AMINOACRYLATE + HOMO-CYS","abcdefg = X + ceg + abdf","","F","",""
"R7","CYS + O-SUCCINYL-L-HOMOSERINE = PROTON + SUC + L-CYSTATHIONINE","abc + defghijk = X + edji + fgahbkc","","F","",""
"R8","HOMO-CYS + 5-METHYL-THF-GLU-N = MET + THF-GLU-N","abcd + efghijklmnopqrstuvwy = eabcd + fghijklmnopqrstuvwy","","F","",""
"R9","CPD-1302 + HOMO-CYS = MET + CPD-1301","abcdefghijklmnopqrstuvwyzABCDE + FGHI = aFGHI + bcdefghijklmnopqrstuvwyzABCDE","","F","",""
"R10","HOMO-SER + SUC-COA = O-SUCCINYL-L-HOMOSERINE + CO-A","abcd + efgh = efabcghd + X","","F","",""
