"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","GLC-6-P = FRUCTOSE-6P","abcdef = afbcde","","FR","",""
"R2","D-GLUCOSAMINE-6-P = GLUCOSAMINE-1P","abcdef = abcdef","","FR","",""
"R3","FRUCTOSE-6P + GLN = D-GLUCOSAMINE-6-P + GLT","abcdef + ghijk = acfdeb + ghijk","","FR","",""
"R4","GLUCOSAMINE-1P + ACETYL-COA = PROTON + N-ACETYL-D-GLUCOSAMINE-1-P + CO-A","abcdef + gh = X + gahbcdef + X","","F","",""
"R5","PROTON + N-ACETYL-D-GLUCOSAMINE-1-P + UTP = UDP-N-ACETYL-D-GLUCOSAMINE + PPI","X + abcdefgh + ijklmnopq = aijbkcdlmefngophq + X","","F","",""
"R6","PROTON + GLC-1-P + TTP = DTDP-D-GLUCOSE + PPI","X + abcdef + ghijklmnop = ghiajklbmncdeofp + X","","FR","",""
"R7","DTDP-D-GLUCOSE = WATER + DTDP-DEOH-DEOXY-GLUCOSE","abcdefghijklmnop = X + adbcefhgijklmnop","","F","",""
"R8","PROTON + NADPH + DTDP-DEOH-DEOXY-MANNOSE = NADP + DTDP-RHAMNOSE","X + X + abcdefghijklmnop = X + abcdefghijklmnop","","F","",""
"R9","DTDP-DEOH-DEOXY-GLUCOSE = DTDP-DEOH-DEOXY-MANNOSE","abcdefghijklmnop = abcdefghijklmnop","","F","",""
"R10","CPD-14553 = UDP-D-GALACTO-14-FURANOSE","abcdefghijklmno = abcdefgijklhmno","","FR","",""
