"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","PUTRESCINE + GLT + ATP = PROTON + GAMMA-GLUTAMYL-PUTRESCINE + ADP + Pi","abcd + efghi + X = X + baefdcghi + X + X","","F","",""
"R2","PUTRESCINE + GLT + ATP = PROTON + GAMMA-GLUTAMYL-PUTRESCINE + ADP + Pi","abcd + efghi + X = X + abefcdghi + X + X","","F","",""
"R3","CPD-9000 + WATER = 4-AMINO-BUTYRATE + GLT","abcdefghi + X = abeh + cdfgi","","F","",""
"R4","PUTRESCINE + 2-KETOGLUTARATE = 4-AMINO-BUTYRALDEHYDE + GLT","abcd + efghi = abcd + efghi","","F","",""
"R5","PUTRESCINE + 2-KETOGLUTARATE = 4-AMINO-BUTYRALDEHYDE + GLT","abcd + efghi = badc + efghi","","F","",""
"R6","4-AMINO-BUTYRALDEHYDE + NAD + WATER = 4-AMINO-BUTYRATE + NADH + PROTON + PROTON","abcd + X + X = abcd + X + X + X","","F","",""
"R7","PROTON + L-ORNITHINE = CARBON-DIOXIDE + PUTRESCINE","X + abcde = e + badc","","F","",""
"R8","PUTRESCINE + 2-KETOGLUTARATE = 4-AMINO-BUTYRALDEHYDE + GLT","abcd + efghi = abcd + efghi","","F","",""
"R9","PUTRESCINE + 2-KETOGLUTARATE = 4-AMINO-BUTYRALDEHYDE + GLT","abcd + efghi = badc + efghi","","F","",""
"R10","4-AMINO-BUTYRALDEHYDE + NAD + WATER = 4-AMINO-BUTYRATE + NADH + PROTON + PROTON","abcd + X + X = abcd + X + X + X","","F","",""
"R11","SUCC-S-ALD + NADP + WATER = SUC + NADPH + PROTON + PROTON","abcd + X + X = badc + X + X + X","","F","",""
"R12","2-KETOGLUTARATE + 4-AMINO-BUTYRATE = GLT + SUCC-S-ALD","abcde + fghi = abcde + fghi","","FR","",""
"R13","WATER + NAD + SUCC-S-ALD = PROTON + PROTON + NADH + SUC","X + X + abcd = X + X + X + badc","","F","",""
"R14","2-KETOGLUTARATE + 4-AMINO-BUTYRATE = GLT + SUCC-S-ALD","abcde + fghi = abcde + fghi","","FR","",""
"R15","WATER + AGMATHINE = UREA + PUTRESCINE","X + abcde = e + badc","","F","",""
"R16","PROTON + ARG = CARBON-DIOXIDE + AGMATHINE","X + abcdef = e + badcf","","F","",""
"R17","PUTRESCINE + GLT + ATP = PROTON + GAMMA-GLUTAMYL-PUTRESCINE + ADP + Pi","abcd + efghi + X = X + baefdcghi + X + X","","F","",""
"R18","PUTRESCINE + GLT + ATP = PROTON + GAMMA-GLUTAMYL-PUTRESCINE + ADP + Pi","abcd + efghi + X = X + abefcdghi + X + X","","F","",""
"R19","CPD-9000 + WATER = 4-AMINO-BUTYRATE + GLT","abcdefghi + X = abeh + cdfgi","","F","",""
