"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","L-CYSTATHIONINE = PROTON + 2-AMINOACRYLATE + HOMO-CYS","abcdefg = X + ceg + abdf","","F","",""
"R2","CYS + O-SUCCINYL-L-HOMOSERINE = PROTON + SUC + L-CYSTATHIONINE","abc + defghijk = X + edji + fgahbkc","","F","",""
"R3","HOMO-CYS + 5-METHYL-THF-GLU-N = MET + THF-GLU-N","abcd + efghijklmnopqrstuvwy = eabcd + fghijklmnopqrstuvwy","","F","",""
"R4","CPD-1302 + HOMO-CYS = MET + CPD-1301","abcdefghijklmnopqrstuvwyzABCDE + FGHI = aFGHI + bcdefghijklmnopqrstuvwyzABCDE","","F","",""
"R5","HOMO-SER + SUC-COA = O-SUCCINYL-L-HOMOSERINE + CO-A","abcd + efgh = efabcghd + X","","F","",""
"R6","L-ASPARTATE + ATP = L-BETA-ASPARTYL-P + ADP","abcd + X = abcd + X","","F","",""
"R7","PROTON + NADPH + L-BETA-ASPARTYL-P = NADP + Pi + L-ASPARTATE-SEMIALDEHYDE","X + X + abcd = X + X + acbd","","FR","",""
"R8","PYRUVATE + L-ASPARTATE-SEMIALDEHYDE = CPD-14443 + WATER + PROTON","abc + defg = daefbgc + X + X","","F","",""
"R9","GLT + N-SUCCINYL-2-AMINO-6-KETOPIMELATE = 2-KETOGLUTARATE + N-SUCCINYLLL-2-6-DIAMINOPIMELATE","abcde + fghijklmnop = abcde + fhgijlkmnpo","","FR","",""
"R10","WATER + N-SUCCINYLLL-2-6-DIAMINOPIMELATE = LL-DIAMINOPIMELATE + SUC","X + abcdefghijk = acbgfkj + edih","","FR","",""
"R11","PROTON + MESO-DIAMINOPIMELATE = LYS + CARBON-DIOXIDE","X + abcdefg = acbedf + g","","F","",""
"R12","LL-DIAMINOPIMELATE = MESO-DIAMINOPIMELATE","abcdefg = abcdefg","","FR","",""
"R13","OXALACETIC_ACID + GLT = L-ASPARTATE + 2-KETOGLUTARATE","abcd + efghi = abcd + efghi","","FR","",""
"R14","O-PHOSPHO-L-HOMOSERINE + WATER = Pi + THR","abcd + X = X + bacd","","F","",""
"R15","HOMO-SER + ATP = PROTON + O-PHOSPHO-L-HOMOSERINE + ADP","abcd + X = X + abcd + X","","F","",""
"R16","NADH-P-OR-NOP + L-ASPARTATE-SEMIALDEHYDE + PROTON = NAD-P-OR-NOP + HOMO-SER","abcdefghijklmnopqrstu + vwyz + X = abcdefghijklmnopqrstu + vwyz","","F","",""
"R17","PROTON + NADPH + L-BETA-ASPARTYL-P = NADP + Pi + L-ASPARTATE-SEMIALDEHYDE","X + X + abcd = X + X + acbd","","FR","",""
"R18","L-ASPARTATE + ATP = L-BETA-ASPARTYL-P + ADP","abcd + X = abcd + X","","F","",""
