"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","L-1-PHOSPHATIDYL-GLYCEROL-P + WATER = L-1-PHOSPHATIDYL-GLYCEROL + Pi","abcdefgh + X = abcdefgh + X","","F","",""
"R2","CDPDIACYLGLYCEROL + GLYCEROL-3P = CMP + L-1-PHOSPHATIDYL-GLYCEROL-P + PROTON","abcdefghijklmn + opq = abeijklmn + pocdfgqh + X","","FR","",""
"R3","GLYCEROL-3P + ACYL-ACP = ACYL-SN-GLYCEROL-3P + ACP","abc + X = abc + X","","F","",""
"R4","CTP + L-PHOSPHATIDATE + PROTON = PPI + CDPDIACYLGLYCEROL","abcdefghi + jklmn + X = X + abjkclmndefghi","","F","",""
"R5","ACYL-SN-GLYCEROL-3P + ACYL-ACP = L-PHOSPHATIDATE + ACP","abcd + X = abcd + X","","F","",""
"R6","NADH-P-OR-NOP + DIHYDROXY-ACETONE-PHOSPHATE + PROTON = NAD-P-OR-NOP + GLYCEROL-3P","abcdefghijklmnopqrstu + vwy + X = abcdefghijklmnopqrstu + vwy","","F","",""
"R7","L-1-PHOSPHATIDYL-SERINE + PROTON = L-1-PHOSPHATIDYL-ETHANOLAMINE + CARBON-DIOXIDE","abcdefgh + X = gcabdef + h","","F","",""
"R8","CDPDIACYLGLYCEROL + SER = CMP + L-1-PHOSPHATIDYL-SERINE + PROTON","abcdefghijklmn + opq = abeijklmn + cdofghpq + X","","FR","",""
"R9","CDPDIACYLGLYCEROL + GLYCEROL-3P = CMP + L-1-PHOSPHATIDYL-GLYCEROL-P + PROTON","abcdefghijklmn + opq = abeijklmn + pocdfgqh + X","","FR","",""
"R10","L-1-PHOSPHATIDYL-GLYCEROL-P + WATER = L-1-PHOSPHATIDYL-GLYCEROL + Pi","abcdefgh + X = abcdefgh + X","","F","",""
"R11","NADH-P-OR-NOP + DIHYDROXY-ACETONE-PHOSPHATE + PROTON = NAD-P-OR-NOP + GLYCEROL-3P","abcdefghijklmnopqrstu + vwy + X = abcdefghijklmnopqrstu + vwy","","F","",""
"R12","Long-Chain-Acyl-CoAs + GLYCEROL-3P = ACYL-SN-GLYCEROL-3P + CO-A","a + bcd = bcad + X","","F","",""
"R13","Long-Chain-Acyl-CoAs + ACYL-SN-GLYCEROL-3P = CO-A + L-PHOSPHATIDATE","a + bcde = X + bcdae","","F","",""
"R14","CTP + L-PHOSPHATIDATE + PROTON = PPI + CDPDIACYLGLYCEROL","abcdefghi + jklmn + X = X + abjkclmndefghi","","F","",""
