"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","GDP + ATP = GTP + ADP","abcdefghij + X = abcdefghij + X","","F","",""
"R2","GDP-TP + WATER = PROTON + GTP + PPI","abcdefghij + X = X + abcdfeghij + X","","F","",""
"R3","ATP + GDP = AMP + GUANOSINE-5DP-3DP","X + abcdefghij = X + abcdfeghij","","F","",""
"R4","GTP + ATP = GDP-TP + AMP","abcdefghij + X = abcdfeghij + X","","F","",""
"R5","GUANOSINE-5DP-3DP + WATER = PROTON + PPI + GDP","abcdefghij + X = X + X + abcdfeghij","","F","",""
"R6","GUANOSINE-5DP-3DP + WATER = PROTON + PPI + GDP","abcdefghij + X = X + X + abcdfeghij","","F","",""
"R7","GUANOSINE-5DP-3DP + WATER = PROTON + PPI + GDP","abcdefghij + X = X + X + abcdfeghij","","F","",""
"R8","WATER + GDP-TP = PROTON + Pi + GUANOSINE-5DP-3DP","X + abcdefghij = X + X + abcdefghij","","F","",""
"R9","WATER + GDP-TP = PROTON + Pi + GUANOSINE-5DP-3DP","X + abcdefghij = X + X + abcdefghij","","F","",""
"R10","WATER + GDP-TP = PROTON + Pi + GUANOSINE-5DP-3DP","X + abcdefghij = X + X + abcdefghij","","F","",""
"R11","WATER + GDP-TP = PROTON + Pi + GUANOSINE-5DP-3DP","X + abcdefghij = X + X + abcdefghij","","F","",""
"R12","WATER + GDP-TP = PROTON + Pi + GUANOSINE-5DP-3DP","X + abcdefghij = X + X + abcdefghij","","F","",""
"R13","WATER + GDP-TP = PROTON + Pi + GUANOSINE-5DP-3DP","X + abcdefghij = X + X + abcdefghij","","F","",""
"R14","WATER + GDP-TP = PROTON + Pi + GUANOSINE-5DP-3DP","X + abcdefghij = X + X + abcdefghij","","F","",""
"R15","WATER + GDP-TP = PROTON + Pi + GUANOSINE-5DP-3DP","X + abcdefghij = X + X + abcdefghij","","F","",""
"R16","WATER + GDP-TP = PROTON + Pi + GUANOSINE-5DP-3DP","X + abcdefghij = X + X + abcdefghij","","F","",""
"R17","WATER + GDP-TP = PROTON + Pi + GUANOSINE-5DP-3DP","X + abcdefghij = X + X + abcdefghij","","F","",""
"R18","WATER + GDP-TP = PROTON + Pi + GUANOSINE-5DP-3DP","X + abcdefghij = X + X + abcdefghij","","F","",""
