"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","RIBOSE-15-BISPHOSPHATE + ATP = PRPP + ADP","abcde + X = abcde + X","","F","",""
"R2","RIBOSE-5P = RIBOSE-1P","abcde = abcde","","FR","",""
"R3","RIBOSE-1P + ATP = PROTON + RIBOSE-15-BISPHOSPHATE + ADP","abcde + X = X + abcde + X","","F","",""
"R4","RIBOSE-5P + ATP = PROTON + PRPP + AMP","abcde + X = X + abcde + X","","F","",""
"R5","ATP + UTP + GLN + WATER = PROTON + PROTON + ADP + Pi + CTP + GLT","X + abcdefghi + jklmn + X = X + X + X + X + abcdefghi + jklmn","","F","",""
"R6","ATP + UTP + GLN + WATER = PROTON + PROTON + ADP + Pi + CTP + GLT","X + abcdefghi + jklmn + X = X + X + X + X + abcdefghi + jklmn","","F","",""
"R7","UDP + ATP = UTP + ADP","","","F","",""
"R8","ATP + UMP = ADP + UDP","","","F","",""
"R9","DI-H-OROTATE + Ubiquinones = OROTATE + Ubiquinols","abcde + fghijklmnopqrs = abcde + fghijklmnopqrs","","F","",""
"R10","PROTON + OROTIDINE-5-PHOSPHATE = CARBON-DIOXIDE + UMP","X + a = a + X","","F","",""
"R11","PRPP + OROTATE = OROTIDINE-5-PHOSPHATE + PPI","abcde + fghij = fagbhcdeij + X","","FR","",""
"R12","PRPP + OROTATE = OROTIDINE-5-PHOSPHATE + PPI","abcde + fghij = fagbhcdeij + X","","FR","",""
"R13","PROTON + CARBAMYUL-L-ASPARTATE = DI-H-OROTATE + WATER","X + abcde = abcde + X","","FR","",""
"R14","L-ASPARTATE + CARBAMOYL-P = PROTON + CARBAMYUL-L-ASPARTATE + Pi","abcd + e = X + abcde + X","","F","",""
"R15","ATP + Reduced-flavodoxins = DATP + Oxidized-flavodoxins + WATER","","","F","",""
"R16","DADP + ATP = DATP + ADP","abcdefghij + X = abcdefghij + X","","F","",""
"R17","ADP + Red-Thioredoxin = DADP + Ox-Thioredoxin + WATER","","","FR","",""
"R18","PROTON + PROTON + PROTON + PROTON + Pi + ADP = PROTON + PROTON + PROTON + WATER + ATP","","","FR","",""
"R19","AMP + ATP = ADP + ADP","","","F","",""
"R20","ADENYLOSUCC = FUM + AMP","abcd = badc + X","","F","",""
"R21","L-ASPARTATE + IMP + GTP = PROTON + PROTON + ADENYLOSUCC + Pi + GDP","abcd + efghijklmn + opqrstuvwy = X + X + aefgbhcijkmlnd + X + opqrstuvwy","","F","",""
"R22","DGDP + ATP = DGTP + ADP","abcdefghij + X = abcdefghij + X","","F","",""
"R23","GTP + Reduced-flavodoxins = DGTP + Oxidized-flavodoxins + WATER","abcdefghij + X = fabecidghj + X + X","","F","",""
"R24","GDP + Red-Thioredoxin = DGDP + Ox-Thioredoxin + WATER","abcdefghij + X = fabecidghj + X + X","","F","",""
"R25","GDP + ATP = GTP + ADP","abcdefghij + X = abcdefghij + X","","F","",""
"R26","GMP + ATP = GDP + ADP","abcdefghij + X = abcdefghij + X","","F","",""
"R27","WATER + GLN + XANTHOSINE-5-PHOSPHATE + ATP = PROTON + PROTON + GLT + GMP + PPI + AMP","X + abcde + fghijklmno + X = X + X + abcde + fghijklmno + X + X","","F","",""
"R28","WATER + GLN + XANTHOSINE-5-PHOSPHATE + ATP = PROTON + PROTON + GLT + GMP + PPI + AMP","X + abcde + fghijklmno + X = X + X + abcde + fghijklmno + X + X","","F","",""
"R29","WATER + NAD + IMP = PROTON + NADH + XANTHOSINE-5-PHOSPHATE","X + X + abcdefghij = X + X + acdefghijb","","F","",""
"R30","5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE + ATP + HCO3 = PROTON + PROTON + CPD0-181 + ADP + Pi","abcdefgh + X + i = X + X + abcdefghi + X + X","","F","",""
