"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","Dodecanoyl-ACPs + WATER = ACP + DODECANOATE + PROTON","","","F","",""
"R2","Palmitoyl-ACPs + WATER = PALMITATE + ACP + PROTON","","","F","",""
"R3","2-Hexadecenoyl-ACPs + NADH + PROTON = Palmitoyl-ACPs + NAD","","","F","",""
"R4","R-3-Hydroxypalmitoyl-ACPs = WATER + 2-Hexadecenoyl-ACPs","","","F","",""
"R5","3-oxo-palmitoyl-ACPs + NADPH + PROTON = R-3-Hydroxypalmitoyl-ACPs + NADP","","","F","",""
"R6","Tetradec-2-enoyl-ACPs + NADH + PROTON = Myristoyl-ACPs + NAD","","","F","",""
"R7","R-3-hydroxymyristoyl-ACPs = Tetradec-2-enoyl-ACPs + WATER","","","F","",""
"R8","3-oxo-myristoyl-ACPs + NADPH + PROTON = R-3-hydroxymyristoyl-ACPs + NADP","","","F","",""
"R9","Dodec-2-enoyl-ACPs + NADH + PROTON = Dodecanoyl-ACPs + NAD","","","F","",""
"R10","R-3-hydroxydodecanoyl-ACPs = Dodec-2-enoyl-ACPs + WATER","","","F","",""
"R11","3-oxo-dodecanoyl-ACPs + NADPH + PROTON = R-3-hydroxydodecanoyl-ACPs + NADP","","","F","",""
"R12","Beta-hydroxydecanoyl-ACPs = Trans-D2-decenoyl-ACPs + WATER","","","F","",""
"R13","Trans-D2-decenoyl-ACPs + NADH + PROTON = Decanoyl-ACPs + NAD","","","F","",""
"R14","3-oxo-decanoyl-ACPs + NADPH + PROTON = Beta-hydroxydecanoyl-ACPs + NADP","","","F","",""
"R15","3-Hydroxy-octanoyl-ACPs = 2-Octenoyl-ACPs + WATER","","","F","",""
"R16","2-Octenoyl-ACPs + NADH + PROTON = Octanoyl-ACPs + NAD","","","F","",""
"R17","3-Oxo-octanoyl-ACPs + NADPH + PROTON = 3-Hydroxy-octanoyl-ACPs + NADP","","","F","",""
"R18","Beta-3-hydroxybutyryl-ACPs = WATER + Crotonyl-ACPs","","","F","",""
"R19","Acetoacetyl-ACPs + NADPH + PROTON = Beta-3-hydroxybutyryl-ACPs + NADP","","","F","",""
"R20","3-oxo-hexanoyl-ACPs + NADPH + PROTON = R-3-hydroxyhexanoyl-ACPs + NADP","","","F","",""
"R21","R-3-hydroxyhexanoyl-ACPs = Hex-2-enoyl-ACPs + WATER","","","F","",""
"R22","Hex-2-enoyl-ACPs + NADH + PROTON = Hexanoyl-ACPs + NAD","","","F","",""
"R23","Crotonyl-ACPs + NADH + PROTON = Butanoyl-ACPs + NAD","","","F","",""
