"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","ATP + UTP + GLN + WATER = PROTON + PROTON + ADP + Pi + CTP + GLT","X + abcdefghi + jklmn + X = X + X + X + X + abcdefghi + jklmn","","F","",""
"R2","ATP + UTP + GLN + WATER = PROTON + PROTON + ADP + Pi + CTP + GLT","X + abcdefghi + jklmn + X = X + X + X + X + abcdefghi + jklmn","","F","",""
"R3","UDP + ATP = UTP + ADP","","","F","",""
"R4","ATP + UMP = ADP + UDP","","","F","",""
"R5","DI-H-OROTATE + Ubiquinones = OROTATE + Ubiquinols","abcde + fghijklmnopqrs = abcde + fghijklmnopqrs","","F","",""
"R6","PROTON + OROTIDINE-5-PHOSPHATE = CARBON-DIOXIDE + UMP","X + a = a + X","","F","",""
"R7","PRPP + OROTATE = OROTIDINE-5-PHOSPHATE + PPI","abcde + fghij = fagbhcdeij + X","","FR","",""
"R8","PRPP + OROTATE = OROTIDINE-5-PHOSPHATE + PPI","abcde + fghij = fagbhcdeij + X","","FR","",""
"R9","PROTON + CARBAMYUL-L-ASPARTATE = DI-H-OROTATE + WATER","X + abcde = abcde + X","","FR","",""
"R10","L-ASPARTATE + CARBAMOYL-P = PROTON + CARBAMYUL-L-ASPARTATE + Pi","abcd + e = X + abcde + X","","F","",""
