"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","OXYGEN-MOLECULE + L-ASPARTATE = PROTON + HYDROGEN-PEROXIDE + IMINOASPARTATE","X + abcd = X + X + abcd","","F","",""
"R2","IMINOASPARTATE + DIHYDROXY-ACETONE-PHOSPHATE = QUINOLINATE + WATER + WATER + Pi","abcd + efg = gefabcd + X + X + X","","F","",""
"R3","IMINOASPARTATE + DIHYDROXY-ACETONE-PHOSPHATE = QUINOLINATE + WATER + WATER + Pi","abcd + efg = gefabcd + X + X + X","","F","",""
"R4","IMINOASPARTATE + DIHYDROXY-ACETONE-PHOSPHATE = QUINOLINATE + WATER + WATER + Pi","abcd + efg = gefabcd + X + X + X","","F","",""
"R5","IMINOASPARTATE + DIHYDROXY-ACETONE-PHOSPHATE = QUINOLINATE + WATER + WATER + Pi","abcd + efg = gfeabcd + X + X + X","","F","",""
"R6","IMINOASPARTATE + DIHYDROXY-ACETONE-PHOSPHATE = QUINOLINATE + WATER + WATER + Pi","abcd + efg = gfeabcd + X + X + X","","F","",""
"R7","IMINOASPARTATE + DIHYDROXY-ACETONE-PHOSPHATE = QUINOLINATE + WATER + WATER + Pi","abcd + efg = gfeabcd + X + X + X","","F","",""
"R8","PRPP + QUINOLINATE + PROTON + PROTON = NICOTINATE_NUCLEOTIDE + PPI + CARBON-DIOXIDE","abcde + fghijkl + X + X = fghjaibcdek + X + l","","F","",""
"R9","PRPP + QUINOLINATE + PROTON + PROTON = NICOTINATE_NUCLEOTIDE + PPI + CARBON-DIOXIDE","abcde + fghijkl + X + X = fghjaibcdek + X + l","","F","",""
"R10","AMMONIUM + ATP + DEAMIDO-NAD = PROTON + AMP + PPI + NAD","","","F","",""
"R11","ATP + DEAMIDO-NAD + GLN + WATER = PROTON + AMP + PPI + NAD + GLT","X + X + abcde + X = X + X + X + X + abcde","","F","",""
"R12","ATP + DEAMIDO-NAD + GLN + WATER = PROTON + AMP + PPI + NAD + GLT","X + X + abcde + X = X + X + X + X + abcde","","F","",""
"R13","PROTON + ATP + NICOTINATE_NUCLEOTIDE = PPI + DEAMIDO-NAD","X + X + abcdefghijk = X + abcdefghijk","","F","",""
