"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","Ubiquinones + SUC = Ubiquinols + FUM","abcdefghijklmn + opqr = abcdefghijklmn + opqr","","F","",""
"R2","CIT = CIS-ACONITATE + WATER","abcdef = bafdce + X","","FR","",""
"R3","OXALACETIC_ACID + ACETYL-COA + WATER = PROTON + CIT + CO-A","abcd + ef + X = X + aecfdb + X","","F","",""
"R4","CIS-ACONITATE + WATER = THREO-DS-ISO-CITRATE","abcdef + X = bceafd","","FR","",""
"R5","THREO-DS-ISO-CITRATE + NADP = NADPH + 2-KETOGLUTARATE + CARBON-DIOXIDE","abcdef + X = X + badcf + e","","F","",""
"R6","2-KETOGLUTARATE + CO-A + NAD = SUC-COA + CARBON-DIOXIDE + NADH","abcde + X + X = badc + e + X","","F","",""
"R7","SUC-COA + ADP + Pi = SUC + CO-A + ATP","abcd + X + X = abcd + X + X","","FR","",""
"R8","SUC-COA + ADP + Pi = SUC + CO-A + ATP","abcd + X + X = badc + X + X","","FR","",""
"R9","FUM + WATER = MAL","abcd + X = badc","","FR","",""
"R10","MAL + NAD = PROTON + OXALACETIC_ACID + NADH","abcd + X = X + abcd + X","","FR","",""
