"rxnID","rxnEq","rxnCTrans","rates","rxnType","basis","deviation"
"R1","CPD-15056 = CPD-16013","abcd = abcd","","F","",""
"R2","PROTON + CPD-16013 + WATER = 2-OXOBUTANOATE + AMMONIUM","X + abcd + X = abcd + X","","F","",""
"R3","THR = CPD-15056 + WATER + PROTON","abcd = abcd + X + X","","F","",""
"R4","PROTON + PYRUVATE + 2-OXOBUTANOATE = 2-ACETO-2-HYDROXY-BUTYRATE + CARBON-DIOXIDE","X + abc + defg = daebgf + c","","F","",""
"R5","PROTON + 2-ACETO-2-HYDROXY-BUTYRATE + NADPH = 1-KETO-2-METHYLVALERATE + NADP","X + abcdef + X = abcfed + X","","F","",""
"R6","2-KETO-3-METHYL-VALERATE + GLT = ILE + 2-KETOGLUTARATE","abcdef + ghijk = abcdef + ghijk","","FR","",""
"R7","1-KETO-2-METHYLVALERATE = 2-KETO-3-METHYL-VALERATE + WATER","abcdef = abcfde + X","","F","",""
"R8","CPD-15056 = CPD-16013","abcd = abcd","","F","",""
"R9","PROTON + CPD-16013 + WATER = 2-OXOBUTANOATE + AMMONIUM","X + abcd + X = abcd + X","","F","",""
"R10","THR = CPD-15056 + WATER + PROTON","abcd = abcd + X + X","","F","",""
"R11","ADP + PROPIONYL-P = ATP + PROPIONATE","X + abc = X + abc","","FR","",""
"R12","PROPIONYL-COA + Pi = PROPIONYL-P + CO-A","abc + X = abc + X","","F","",""
"R13","2-OXOBUTANOATE + CO-A = PROPIONYL-COA + FORMATE","abcd + X = abc + d","","F","",""
"R14","AMINO-OXOBUT + CO-A = GLY + ACETYL-COA","abcd + X = cd + ab","","FR","",""
"R15","THR + NAD = AMINO-OXOBUT + NADH + PROTON","abcd + X = abcd + X + X","","F","",""
"R16","AMINO-ACETONE + WATER + OXYGEN-MOLECULE = METHYL-GLYOXAL + AMMONIUM + HYDROGEN-PEROXIDE","abc + X + X = abc + X + X","","F","",""
"R17","AMINO-OXOBUT + PROTON = AMINO-ACETONE + CARBON-DIOXIDE","abcd + X = acb + d","","F","",""
"R18","THR + NAD = AMINO-OXOBUT + NADH + PROTON","abcd + X = abcd + X + X","","F","",""
"R19","NAD + CO-A + ACETALD = PROTON + NADH + ACETYL-COA","X + X + ab = X + X + ab","","FR","",""
"R20","THR = ACETALD + GLY","abcd = ab + cd","","F","",""
