orgid (PATHWAY),frameid (PATHWAY),orgid (REACTION),frameid (REACTION),orgid (COMPOUND),frameid (COMPOUND)
ECOLI,PEPTIDOGLYCANSYN-PWY,ECOLI,PHOSNACMURPENTATRANS-RXN,ECOLI,CPD-9646
ECOLI,PWY-5838,ECOLI,DMK-RXN,ECOLI,DIHYDROXYNAPHTHOATE
ECOLI,UBISYN-PWY,ECOLI,2-OCTAPRENYL-6-OHPHENOL-METHY-RXN,ECOLI,S-ADENOSYLMETHIONINE
ECOLI,LPSSYN-PWY,ECOLI,RXN0-5126,ECOLI,CPD0-937
ECOLI,NAGLIPASYN-PWY,ECOLI,MYRPALMTRAN-RXN,ECOLI,KDO2-PALMITOLEOYL-LIPID-IVA
ECOLI,ECASYN-PWY,ECOLI,GLCNACPTRANS-RXN,ECOLI,CPD-9646
ECOLI,ALL-CHORISMATE-PWY,ECOLI,ADOMET-DMK-METHYLTRANSFER-RXN,ECOLI,S-ADENOSYLMETHIONINE
ECOLI,PWY0-1338,ECOLI,RXN0-5409,ECOLI,CPD0-888
ECOLI,LIPA-CORESYN-PWY,ECOLI,RXN0-5126,ECOLI,CPD0-937
ECOLI,KDO-LIPASYN-PWY,ECOLI,MYRISTOYLACYLTRAN-RXN,ECOLI,KDO2-LAUROYL-LIPID-IVA
ECOLI,NAGLIPASYN-PWY,ECOLI,TETRAACYLDISACC4KIN-RXN,ECOLI,BISOHMYR-GLC
ECOLI,KDOSYN-PWY,ECOLI,KDOTRANS2-RXN,ECOLI,KDO-LIPID-IVA
ECOLI,PWY0-1586,ECOLI,RXN-16691,ECOLI,CPD-17969
ECOLI,PWY-5194,ECOLI,RXN-8675,ECOLI,CPD-9038
ECOLI,MENAQUINONESYN-PWY,ECOLI,ADOMET-DMK-METHYLTRANSFER-RXN,ECOLI,S-ADENOSYLMETHIONINE
ECOLI,PWY-6708,ECOLI,2-OCTAPRENYL-6-OHPHENOL-METHY-RXN,ECOLI,S-ADENOSYLMETHIONINE
ECOLI,PWY-5852,ECOLI,DMK-RXN,ECOLI,DIHYDROXYNAPHTHOATE
ECOLI,COBALSYN-PWY,ECOLI,COBALAMIN5PSYN-RXN,ECOLI,ADENOSYLCOBINAMIDE-GDP
ECOLI,PWY-6268,ECOLI,COBALADENOSYLTRANS-RXN,ECOLI,COB-I-ALAMIN
